Humidity,Temperature,Light Intensity Level,CO Level
95.6,31.1,236,1.63
95.6,31.1,236,1.67
95.6,31,237,1.67
95.7,31,237,1.7
95.8,31,236,1.69
96.1,31,236,1.65
96,31,236,1.68
96.2,31,236,1.68
96.3,31,230,1.69
96.4,31,234,1.67
96.2,31,228,1.79
95.9,31,234,1.88
96,31,191,2.04
96.5,31,218,2.05
96.8,31.1,217,1.98
96.6,31,212,1.97
96.3,31.1,205,2.06
96.1,31.1,213,2.04
95.9,31,233,1.76
96,31,225,1.8
96.7,31.1,224,1.76
96.3,31.1,260,1.77
96.2,31.1,239,1.76
96,31.1,236,1.8
95.9,31.1,250,1.81
95.9,31,249,1.83
96.3,31.1,247,1.87
95.9,31,246,1.86
95.8,31,244,1.85
96.1,31,146,1.88
96.2,31,148,2.04
96.9,31,121,2.13
97.3,31,135,2.07
97.4,31,150,2.29
97.7,31.1,149,2.15
96.9,31,168,1.87
96.8,31.1,134,2.05
96.5,31.1,136,1.85
96.7,31.1,185,1.81
97,31.1,177,2.01
97.6,31.1,172,1.93
97.7,31.1,161,1.72
97.2,31.2,145,1.84
96.9,31.1,151,1.83
97.4,31.2,233,1.8
96.8,31.2,231,1.88
96.2,31.1,230,2
95.8,31.1,229,1.95
95.6,31.1,229,1.91
95.3,31.1,232,1.79
95.3,31.1,232,1.77
95.2,31.1,234,1.78
95.2,31.1,232,1.79
95.2,31.1,234,1.8
95.3,31,242,1.82
95.4,31.1,235,1.82
96.2,31,249,1.82
96.8,31.1,235,1.83
96.7,31.1,237,1.82
96.8,31.1,236,1.82
96.7,31.1,240,1.82
96.5,31.1,238,1.83
96.9,31.1,239,1.83
97.2,31.1,244,1.84
97.3,31.1,239,1.84
97.3,31.1,237,1.85
97.2,31.2,239,1.85
97.2,31.2,240,1.86
97.2,31.2,240,1.86
97.3,31.2,241,1.85
97.3,31.2,242,1.86
97.1,31.3,238,1.87
97,31.3,243,1.86
96.9,31.3,244,1.87
96.8,31.3,246,1.87
96.5,31.3,248,1.88
96.4,31.4,253,1.88
96.6,31.4,249,1.88
96.8,31.5,252,1.87
97.1,31.7,256,1.71
96.8,31.8,258,1.74
96.8,32,261,1.77
96.2,32.2,259,1.84
94.7,32.4,259,1.86
94.3,32.6,257,1.8
94.1,32.8,258,1.34
98.7,33.3,270,0.94
99.9,34.3,282,0.94
97.9,35,269,0.92
96.7,35.8,265,1.1
93.1,36.2,265,1.03
92.8,36.8,261,1.14
90.2,37.1,257,1.22
90.3,37.4,252,1.27
89.7,37.8,252,1.28
86.3,38.2,253,0.99
83.2,38.7,249,1.16
78.2,38.9,245,0.97
78.4,39.3,244,1.03
78.7,39.6,246,1.12
77.9,40,232,1.18
77.7,40.3,241,1.18
75.1,40.7,254,1.11
69.9,41,210,0.81
71.8,41.3,210,0.86
66.9,41.7,222,0.7
71.9,42,226,0.88
64.9,42,214,0.97
62.5,42.1,211,1.05
60.9,42,209,1.09
61.1,41.9,212,1.12
61.1,42,209,1.14
60.7,42,215,1.16
60.6,42.1,218,1.19
61.2,42.2,223,1.22
61,42.3,218,1.26
60.2,42.5,218,1.29
59.8,42.5,216,1.29
59.7,42.5,216,1.3
59.9,42.5,217,1.33
59,42.6,216,1.35
58.5,42.6,216,1.37
58.6,42.8,215,1.39
58.2,42.8,215,1.41
57.3,42.9,216,1.44
57.1,42.9,212,1.46
56.1,43.1,202,1.48
56.5,43.1,170,1.5
56.4,43.1,237,1.52
55.7,43.2,237,1.59
55.4,43.1,234,1.59
55.5,43,219,1.66
55.7,43,234,1.57
55.5,42.9,233,1.56
55.7,42.8,230,1.56
55.8,42.7,218,1.54
56.4,42.8,228,1.45
56.8,42.8,231,1.37
57.1,42.8,237,1.06
61,42.8,236,1.07
60.2,42.8,238,1.23
59.9,42.8,236,1.3
59.3,42.8,220,0.99
64,42.8,226,0.99
59.5,42.7,227,1.1
58.4,42.6,228,1.1
64.1,42.6,231,0.87
61.8,42.5,232,0.99
58.9,42.2,246,1.04
59.9,42.2,247,0.94
59.3,42.2,244,1
59,41.9,243,1.09
59.3,42,243,1.15
59.7,42.1,243,1.19
59.7,42,243,1.04
61.8,42,243,1.04
62.4,42.1,244,0.81
67.7,42.1,247,0.87
68.8,42,251,0.79
66.9,41.9,255,0.79
64.4,41.8,255,0.84
62.8,41.8,257,0.92
61.4,41.7,256,0.96
61.5,41.6,261,1
62.3,41.4,261,0.86
69.2,41.5,260,0.94
63.9,41.4,267,0.94
67.6,41.6,272,0.99
65.5,42,278,0.99
64.3,42.5,252,1.03
65,43,256,1.05
63.7,43.2,264,1.09
63.1,43.7,274,1.11
62.1,44.8,272,1.13
59.6,45.8,269,1.14
57.5,46.6,273,1.16
56.1,47.1,269,1.19
54.8,47.6,255,1.21
54.8,48.1,275,1.39
54.3,48.7,283,1.37
52.7,49,286,1.37
51,49.5,281,1.36
49.7,49.9,289,1.39
