Humidity,Temperature,Light Intensity Level,CO Level,Area
98.7,33.3,270,0.94,1
95.6,31.1,236,1.67,2
95.6,31,237,1.67,3
25.3,78.3,267,1.1,4
95.8,31,236,1.69,1
96.1,31,236,1.65,2
96,31,236,1.68,3
24.8,89.1,205,1.56,4
96.3,31,230,1.69,1
96.4,31,234,1.67,2
96.2,31,228,1.79,3
26.6,76.7,274,1.04,4
86.3,38.2,253,0.99,1
96.5,31,218,2.05,2
96.8,31.1,217,1.98,3
27.8,75.9,281,0.68,4
97.9,35,269,0.92,1
96.1,31.1,213,2.04,2
95.9,31,233,1.76,3
27.3,76.9,274,0.94,4
26.6,76.7,274,1.04,1
26.6,76.5,254,1.1,2
26.7,76.1,277,1.03,3
27.8,75.9,281,0.68,4
