Humidity,Temperature,Light Intensity Level,CO Level,cluster_ID,cluster_label
95.6,31.1,236.0,1.63,1,0
95.6,31.1,236.0,1.67,1,0
95.6,31.0,237.0,1.67,1,0
95.7,31.0,237.0,1.7,1,0
95.8,31.0,236.0,1.69,1,0
96.1,31.0,236.0,1.65,1,0
96.0,31.0,236.0,1.68,1,0
96.2,31.0,236.0,1.68,1,0
96.3,31.0,230.0,1.69,1,0
96.4,31.0,234.0,1.67,1,0
96.2,31.0,228.0,1.79,1,0
95.9,31.0,234.0,1.88,1,0
96.0,31.0,191.0,2.04,1,0
96.5,31.0,218.0,2.05,1,0
96.8,31.1,217.0,1.98,1,0
96.6,31.0,212.0,1.97,1,0
96.3,31.1,205.0,2.06,1,0
96.1,31.1,213.0,2.04,1,0
95.9,31.0,233.0,1.76,1,0
96.0,31.0,225.0,1.8,1,0
96.7,31.1,224.0,1.76,1,0
96.3,31.1,260.0,1.77,1,0
96.2,31.1,239.0,1.76,1,0
96.0,31.1,236.0,1.8,1,0
95.9,31.1,250.0,1.81,1,0
95.9,31.0,249.0,1.83,1,0
96.3,31.1,247.0,1.87,1,0
95.9,31.0,246.0,1.86,1,0
95.8,31.0,244.0,1.85,1,0
96.1,31.0,146.0,1.88,0,0
96.2,31.0,148.0,2.04,0,0
96.9,31.0,121.0,2.13,0,0
97.3,31.0,135.0,2.07,0,0
97.4,31.0,150.0,2.29,0,0
97.7,31.1,149.0,2.15,0,0
96.9,31.0,168.0,1.87,0,0
96.8,31.1,134.0,2.05,0,0
96.5,31.1,136.0,1.85,0,0
96.7,31.1,185.0,1.81,0,0
97.0,31.1,177.0,2.01,0,0
97.6,31.1,172.0,1.93,0,0
97.7,31.1,161.0,1.72,0,0
97.2,31.2,145.0,1.84,0,0
96.9,31.1,151.0,1.83,0,0
97.4,31.2,233.0,1.8,1,0
96.8,31.2,231.0,1.88,1,0
96.2,31.1,230.0,2.0,1,0
95.8,31.1,229.0,1.95,1,0
95.6,31.1,229.0,1.91,1,0
95.3,31.1,232.0,1.79,1,0
95.3,31.1,232.0,1.77,1,0
95.2,31.1,234.0,1.78,1,0
95.2,31.1,232.0,1.79,1,0
95.2,31.1,234.0,1.8,1,0
95.3,31.0,242.0,1.82,1,0
95.4,31.1,235.0,1.82,1,0
96.2,31.0,249.0,1.82,1,0
96.8,31.1,235.0,1.83,1,0
96.7,31.1,237.0,1.82,1,0
96.8,31.1,236.0,1.82,1,0
96.7,31.1,240.0,1.82,1,0
96.5,31.1,238.0,1.83,1,0
96.9,31.1,239.0,1.83,1,0
97.2,31.1,244.0,1.84,1,0
97.3,31.1,239.0,1.84,1,0
97.3,31.1,237.0,1.85,1,0
97.2,31.2,239.0,1.85,1,0
97.2,31.2,240.0,1.86,1,0
97.2,31.2,240.0,1.86,1,0
97.3,31.2,241.0,1.85,1,0
97.3,31.2,242.0,1.86,1,0
97.1,31.3,238.0,1.87,1,0
97.0,31.3,243.0,1.86,1,0
96.9,31.3,244.0,1.87,1,0
96.8,31.3,246.0,1.87,1,0
96.5,31.3,248.0,1.88,1,0
96.4,31.4,253.0,1.88,1,0
96.6,31.4,249.0,1.88,1,0
96.8,31.5,252.0,1.87,1,0
97.1,31.7,256.0,1.71,1,0
96.8,31.8,258.0,1.74,1,0
96.8,32.0,261.0,1.77,1,0
96.2,32.2,259.0,1.84,1,0
94.7,32.4,259.0,1.86,1,0
94.3,32.6,257.0,1.8,1,0
94.1,32.8,258.0,1.34,1,0
98.7,33.3,270.0,0.94,1,0
99.9,34.3,282.0,0.94,1,0
97.9,35.0,269.0,0.92,1,0
96.7,35.8,265.0,1.1,1,0
93.1,36.2,265.0,1.03,1,0
92.8,36.8,261.0,1.14,1,0
90.2,37.1,257.0,1.22,1,0
90.3,37.4,252.0,1.27,1,0
89.7,37.8,252.0,1.28,1,0
86.3,38.2,253.0,0.99,1,0
83.2,38.7,249.0,1.16,1,0
78.2,38.9,245.0,0.97,1,0
78.4,39.3,244.0,1.03,1,0
78.7,39.6,246.0,1.12,1,0
77.9,40.0,232.0,1.18,1,0
77.7,40.3,241.0,1.18,1,1
75.1,40.7,254.0,1.11,1,1
69.9,41.0,210.0,0.81,1,1
71.8,41.3,210.0,0.86,1,1
66.9,41.7,222.0,0.7,1,1
71.9,42.0,226.0,0.88,1,1
64.9,42.0,214.0,0.97,1,1
62.5,42.1,211.0,1.05,1,1
60.9,42.0,209.0,1.09,1,1
61.1,41.9,212.0,1.12,1,1
61.1,42.0,209.0,1.14,1,1
60.7,42.0,215.0,1.16,1,1
60.6,42.1,218.0,1.19,1,1
61.2,42.2,223.0,1.22,1,1
61.0,42.3,218.0,1.26,1,1
60.2,42.5,218.0,1.29,1,1
59.8,42.5,216.0,1.29,1,1
59.7,42.5,216.0,1.3,1,1
59.9,42.5,217.0,1.33,1,1
59.0,42.6,216.0,1.35,1,1
58.5,42.6,216.0,1.37,1,1
58.6,42.8,215.0,1.39,1,1
58.2,42.8,215.0,1.41,1,1
57.3,42.9,216.0,1.44,1,1
57.1,42.9,212.0,1.46,1,1
56.1,43.1,202.0,1.48,1,1
56.5,43.1,170.0,1.5,0,1
56.4,43.1,237.0,1.52,1,1
55.7,43.2,237.0,1.59,1,1
55.4,43.1,234.0,1.59,1,1
55.5,43.0,219.0,1.66,1,1
55.7,43.0,234.0,1.57,1,1
55.5,42.9,233.0,1.56,1,1
55.7,42.8,230.0,1.56,1,1
55.8,42.7,218.0,1.54,1,1
56.4,42.8,228.0,1.45,1,1
56.8,42.8,231.0,1.37,1,1
57.1,42.8,237.0,1.06,1,1
61.0,42.8,236.0,1.07,1,1
60.2,42.8,238.0,1.23,1,1
59.9,42.8,236.0,1.3,1,1
59.3,42.8,220.0,0.99,1,1
64.0,42.8,226.0,0.99,1,1
59.5,42.7,227.0,1.1,1,1
58.4,42.6,228.0,1.1,1,1
64.1,42.6,231.0,0.87,1,1
61.8,42.5,232.0,0.99,1,1
58.9,42.2,246.0,1.04,1,1
59.9,42.2,247.0,0.94,1,1
59.3,42.2,244.0,1.0,1,1
59.0,41.9,243.0,1.09,1,1
59.3,42.0,243.0,1.15,1,1
59.7,42.1,243.0,1.19,1,1
59.7,42.0,243.0,1.04,1,1
61.8,42.0,243.0,1.04,1,1
62.4,42.1,244.0,0.81,1,1
67.7,42.1,247.0,0.87,1,1
68.8,42.0,251.0,0.79,1,1
66.9,41.9,255.0,0.79,1,1
64.4,41.8,255.0,0.84,1,1
62.8,41.8,257.0,0.92,1,1
61.4,41.7,256.0,0.96,1,1
61.5,41.6,261.0,1.0,1,1
62.3,41.4,261.0,0.86,1,1
69.2,41.5,260.0,0.94,1,1
63.9,41.4,267.0,0.94,1,1
67.6,41.6,272.0,0.99,1,1
65.5,42.0,278.0,0.99,1,1
64.3,42.5,252.0,1.03,1,1
65.0,43.0,256.0,1.05,1,1
63.7,43.2,264.0,1.09,1,1
63.1,43.7,274.0,1.11,1,1
62.1,44.8,272.0,1.13,1,1
59.6,45.8,269.0,1.14,1,1
57.5,46.6,273.0,1.16,1,1
56.1,47.1,269.0,1.19,1,1
54.8,47.6,255.0,1.21,1,1
54.8,48.1,275.0,1.39,1,1
54.3,48.7,283.0,1.37,1,1
52.7,49.0,286.0,1.37,1,1
51.0,49.5,281.0,1.36,1,1
49.7,49.9,289.0,1.39,1,1
48.7,50.2,284.0,1.45,1,1
47.5,50.2,282.0,1.45,1,1
46.9,50.5,274.0,1.43,1,1
47.1,50.8,269.0,1.37,1,1
46.6,51.0,268.0,1.37,1,1
45.9,51.3,265.0,1.45,1,1
44.6,51.5,267.0,1.42,1,1
44.8,51.9,277.0,1.41,1,1
44.5,52.2,272.0,1.42,1,1
43.6,52.2,279.0,1.31,1,1
43.4,52.3,286.0,1.29,1,1
43.0,52.6,292.0,1.3,1,1
42.4,53.4,299.0,1.33,1,1
41.6,54.3,307.0,1.33,1,1
40.6,54.4,270.0,1.35,1,1
39.9,54.9,260.0,1.31,1,1
39.4,55.8,257.0,1.31,1,1
38.6,56.7,260.0,1.35,1,1
37.5,57.4,255.0,1.36,1,1
36.7,58.1,253.0,1.44,1,1
36.3,58.8,252.0,1.4,1,1
35.9,59.6,253.0,1.41,1,1
35.5,60.1,250.0,1.54,1,1
35.3,60.8,254.0,1.44,1,1
34.6,61.3,256.0,1.42,1,1
34.1,61.8,257.0,1.39,1,1
33.5,62.3,258.0,1.4,1,1
32.9,62.5,260.0,1.41,1,1
32.7,62.9,265.0,1.42,1,1
32.5,63.2,269.0,1.44,1,1
32.4,63.3,268.0,1.45,1,1
32.6,63.5,266.0,1.48,1,1
32.1,63.7,273.0,1.48,1,1
32.0,63.8,271.0,1.52,1,1
31.8,63.8,280.0,1.5,1,1
31.8,63.9,282.0,1.52,1,1
31.6,63.9,285.0,1.54,1,1
31.5,63.9,287.0,1.55,1,1
31.5,64.1,287.0,1.56,1,1
31.1,64.0,287.0,1.59,1,1
31.1,63.9,286.0,1.61,1,1
31.4,63.9,281.0,1.62,1,1
31.4,63.7,283.0,1.67,1,1
31.4,63.5,283.0,1.63,1,1
31.6,63.2,283.0,1.61,1,1
31.8,63.0,283.0,1.61,1,1
31.8,62.7,280.0,1.61,1,1
31.9,62.5,280.0,1.61,1,1
32.0,62.3,278.0,1.64,1,1
32.3,62.0,277.0,1.67,1,1
32.4,61.7,272.0,1.68,1,1
32.5,61.3,275.0,1.65,1,1
32.5,60.8,275.0,1.65,1,1
32.6,60.6,275.0,1.64,1,1
32.8,60.2,275.0,1.63,1,1
33.3,60.0,279.0,1.59,1,1
33.6,59.8,278.0,1.6,1,1
34.1,59.6,278.0,1.63,1,1
34.3,59.4,278.0,1.66,1,1
34.7,59.0,278.0,1.69,1,1
34.4,58.5,278.0,1.7,1,1
35.1,58.3,276.0,1.8,1,1
35.1,58.0,275.0,1.84,1,1
35.0,57.8,276.0,1.86,1,1
35.4,57.5,276.0,1.84,1,1
35.7,57.2,273.0,1.83,1,1
35.8,56.8,272.0,1.79,1,1
36.2,56.6,269.0,1.82,1,1
36.5,56.2,269.0,1.82,1,1
36.6,55.8,273.0,1.76,1,1
37.0,55.6,272.0,1.72,1,1
37.1,55.2,273.0,1.7,1,1
37.3,54.8,274.0,1.73,1,1
37.6,54.5,276.0,1.69,1,1
38.2,54.2,276.0,1.71,1,1
38.5,53.9,275.0,1.71,1,1
38.6,53.7,273.0,1.71,1,1
38.8,53.4,269.0,1.79,1,1
39.2,53.2,270.0,1.77,1,1
39.2,52.9,270.0,1.77,1,1
39.4,52.8,269.0,1.77,1,1
39.9,52.6,268.0,1.79,1,1
40.1,52.3,269.0,1.85,1,1
40.3,52.1,264.0,1.87,1,1
40.8,52.0,265.0,1.87,1,1
41.1,51.8,249.0,1.81,1,1
41.2,51.4,242.0,1.82,1,1
42.0,50.9,272.0,1.23,1,1
43.1,50.5,221.0,0.92,1,1
43.0,50.4,282.0,0.71,1,1
42.9,50.3,251.0,0.84,1,1
42.7,50.2,202.0,1.13,1,1
42.8,50.2,211.0,1.14,1,1
42.7,50.1,240.0,1.23,1,1
43.0,50.0,192.0,1.27,1,1
43.2,49.8,179.0,1.11,1,1
43.9,49.7,177.0,1.22,1,1
44.3,49.6,182.0,1.29,1,1
44.5,49.5,184.0,1.32,1,1
44.8,49.5,190.0,0.96,1,1
45.7,49.4,189.0,1.1,1,1
45.2,49.3,177.0,1.18,1,1
44.6,49.2,178.0,0.87,1,1
45.0,47.0,180.0,0.81,1,1
46.5,48.9,228.0,1.0,1,1
46.3,48.9,228.0,1.12,1,1
45.9,48.7,223.0,1.18,1,1
46.1,48.6,217.0,1.21,1,1
46.2,48.4,211.0,1.25,1,1
47.2,48.2,212.0,1.29,1,1
47.3,48.0,215.0,1.35,1,1
47.0,47.8,201.0,1.49,1,1
47.6,47.6,250.0,1.46,1,1
47.4,47.6,247.0,1.46,1,1
46.9,47.3,226.0,1.49,1,1
46.9,47.1,229.0,1.52,1,1
47.2,47.0,236.0,1.58,1,1
46.9,46.8,165.0,1.59,0,1
47.7,46.5,161.0,1.58,0,1
48.6,46.4,182.0,1.69,1,1
49.1,46.2,185.0,1.61,1,1
49.5,46.1,176.0,1.65,1,1
49.5,46.0,190.0,0.92,1,1
51.3,46.1,184.0,1.05,1,1
50.8,46.1,200.0,1.21,1,1
50.4,46.0,216.0,1.3,1,1
50.5,45.8,212.0,1.37,1,1
50.8,45.7,213.0,1.41,1,1
50.6,45.7,216.0,1.49,1,1
51.0,45.5,211.0,1.53,1,1
51.4,45.5,216.0,1.57,1,1
51.3,45.3,216.0,1.56,1,1
51.7,45.2,215.0,1.59,1,1
51.8,45.1,215.0,1.63,1,1
51.9,44.9,216.0,1.66,1,1
52.0,44.8,210.0,1.68,1,1
52.2,44.7,237.0,1.63,1,1
53.4,44.8,247.0,1.66,1,1
55.7,45.2,240.0,1.33,1,1
57.5,45.7,251.0,0.91,1,1
59.6,46.5,244.0,1.12,1,1
54.1,46.7,244.0,1.36,1,1
52.2,46.8,245.0,1.42,1,1
51.3,46.7,238.0,1.55,1,1
50.8,46.7,248.0,1.56,1,1
50.7,46.5,242.0,1.54,1,1
50.9,46.3,242.0,1.65,1,1
51.8,46.1,285.0,1.61,1,1
50.6,45.8,307.0,1.65,1,1
50.0,45.6,313.0,1.71,1,1
49.7,45.5,272.0,1.68,1,1
49.4,45.4,287.0,1.71,1,1
49.9,45.2,291.0,1.76,1,1
50.2,45.1,249.0,1.71,1,1
51.1,45.0,253.0,1.67,1,1
51.4,44.8,266.0,1.59,1,1
52.8,44.8,264.0,1.53,1,1
53.0,44.6,262.0,1.5,1,1
52.5,44.5,264.0,1.48,1,1
52.9,44.4,264.0,1.55,1,1
53.1,44.3,264.0,1.66,1,1
53.1,44.2,266.0,1.7,1,1
53.3,44.0,280.0,1.71,1,1
54.0,43.9,282.0,1.5,1,1
54.8,43.8,281.0,1.34,1,1
55.0,43.7,266.0,1.35,1,1
55.0,43.6,263.0,1.32,1,1
